Trope,Count
fiction,30
contemporary,20
audiobook,19
contemporary romance,14
young adult,13
fantasy,11
adult,10
chick lit,10
vampires,5
enemies to lovers,5
paranormal,5
paranormal romance,5
new adult,4
historical fiction,3
romantasy,3
historical romance,2
friends to lovers,2
fae,2
science fiction,2
realistic fiction,2
dystopia,2
lgbt,2
historical,2
adult fiction,2
dark romance,2
queer,2
young adult romance,1
erotica,1
classics,1
time travel,1
bdsm,1
college,1
coming of age,1
mythology,1
second chance,1
sports,1
sports romance,1
love,1
regency,1
